proteins,NaN_prop_samples_with_targets,NaN_prop_all_samples,target,NaN_control,targeting_pert_ids
Q8N4H5,0.0,0.0,False,False,
Q8N4J0,0.01282051282051282,0.010638297872340425,False,False,
Q8N4L1,0.3974358974358974,0.3829787234042553,False,True,
Q8N4L2,0.02564102564102564,0.02127659574468085,False,False,
Q8N4N3,0.0,0.0,False,False,
Q8N4P3,0.0,0.0,False,False,
Q8N4Q0,0.01282051282051282,0.010638297872340425,False,False,
Q8N4Q1,0.02564102564102564,0.02127659574468085,False,False,
Q8N4S0,0.08974358974358974,0.10638297872340426,False,False,
Q8N4S9,0.14102564102564102,0.1595744680851064,False,False,
Q8N4T8,0.0,0.0,False,False,
Q8N4V1,0.0,0.0,False,False,
Q8N4Y2,0.8846153846153846,0.8723404255319149,False,True,
Q8N511,0.0,0.0,False,False,
Q8N531,0.01282051282051282,0.010638297872340425,False,False,
Q8N543,0.0,0.0,False,False,
Q8N554,0.34615384615384615,0.3191489361702128,False,False,
Q8N556,0.3974358974358974,0.425531914893617,False,True,
Q8N565,0.08974358974358974,0.09574468085106383,False,False,
Q8N567,0.7948717948717948,0.7872340425531915,False,True,
Q8N568,0.9358974358974359,0.9148936170212766,False,False,
Q8N573,0.038461538461538464,0.031914893617021274,False,False,
Q8N584,0.16666666666666666,0.1702127659574468,False,False,
Q8N5A5,0.02564102564102564,0.05319148936170213,False,False,
Q8N5B7,0.8333333333333334,0.851063829787234,False,True,
Q8N5C6,0.0,0.0,False,False,
Q8N5C7,0.1282051282051282,0.1702127659574468,False,False,
Q8N5C8,0.32051282051282054,0.30851063829787234,False,False,
Q8N5D0,0.01282051282051282,0.010638297872340425,False,False,
Q8N5F7,0.0,0.0,False,False,
Q8N5G0,0.08974358974358974,0.0851063829787234,False,True,
Q8N5G2,0.16666666666666666,0.1702127659574468,False,False,
Q8N5H3,0.46153846153846156,0.4787234042553192,False,False,
Q8N5I2,0.0,0.0,False,False,
Q8N5I4,0.11538461538461539,0.11702127659574468,False,True,
Q8N5I9,0.08974358974358974,0.09574468085106383,False,False,
Q8N5K1,0.01282051282051282,0.010638297872340425,False,False,
Q8N5L8,0.01282051282051282,0.010638297872340425,False,False,
Q8N5M1,0.0,0.010638297872340425,False,False,
Q8N5M4,0.0,0.0,False,False,
Q8N5M9,0.8717948717948718,0.8617021276595744,False,True,
Q8N5N7,0.0,0.0,False,False,
Q8N5P1,0.01282051282051282,0.010638297872340425,False,False,
Q8N5S9,0.9743589743589743,0.9680851063829787,False,True,
Q8N5U6,0.4230769230769231,0.3723404255319149,False,False,
Q8N5W9,0.08974358974358974,0.11702127659574468,False,False,
Q8N5X7,0.2692307692307692,0.24468085106382978,False,True,
Q8N5Y8,0.5897435897435898,0.6063829787234043,False,True,
Q8N5Z0,0.02564102564102564,0.02127659574468085,False,False,
Q8N612,0.01282051282051282,0.010638297872340425,False,False,
Q8N653,0.02564102564102564,0.02127659574468085,False,False,
Q8N668,0.01282051282051282,0.010638297872340425,False,False,
Q8N680,0.47435897435897434,0.44680851063829785,False,True,
Q8N684,0.0,0.0,False,False,
Q8N697,0.8717948717948718,0.8936170212765957,False,True,
Q8N6G5,0.47435897435897434,0.44680851063829785,False,False,
Q8N6H7,0.0,0.0,False,False,
Q8N6I1,0.19230769230769232,0.2127659574468085,False,False,
Q8N6M0,0.0,0.0,False,False,
Q8N6N3,0.0,0.0,False,False,
